Contributors,Avatar_URL,Github_page,n_Contributions,CurrentContributor
laurentheirendt,https://avatars.githubusercontent.com/u/20812112?v=4,https://github.com/laurentheirendt,2567,False
tpfau,https://avatars.githubusercontent.com/u/9972778?v=4,https://github.com/tpfau,1221,False
rmtfleming,https://avatars.githubusercontent.com/u/2146874?v=4,https://github.com/rmtfleming,1114,True
syarra,https://avatars.githubusercontent.com/u/816318?v=4,https://github.com/syarra,929,False
almut-heinken,https://avatars.githubusercontent.com/u/10808349?v=4,https://github.com/almut-heinken,362,True
jacekwachowiak,https://avatars.githubusercontent.com/u/26724015?v=4,https://github.com/jacekwachowiak,277,False
shjchan,https://avatars.githubusercontent.com/u/6303462?v=4,https://github.com/shjchan,205,False
NicolasSompairac,https://avatars.githubusercontent.com/u/22714537?v=4,https://github.com/NicolasSompairac,186,False
Fede-edef,https://avatars.githubusercontent.com/u/11027488?v=4,https://github.com/Fede-edef,168,False
marouenbg,https://avatars.githubusercontent.com/u/7914548?v=4,https://github.com/marouenbg,142,False
ithiele,https://avatars.githubusercontent.com/u/5138739?v=4,https://github.com/ithiele,138,True
snmendoz,https://avatars.githubusercontent.com/u/20322531?v=4,https://github.com/snmendoz,129,False
huldash,https://avatars.githubusercontent.com/u/4303436?v=4,https://github.com/huldash,99,False
arichelle,https://avatars.githubusercontent.com/u/14930292?v=4,https://github.com/arichelle,90,False
akaviaLab,https://avatars.githubusercontent.com/u/10587238?v=4,https://github.com/akaviaLab,64,False
loicmarx,https://avatars.githubusercontent.com/u/44362380?v=4,https://github.com/loicmarx,60,False
longfeimao,https://avatars.githubusercontent.com/u/9161887?v=4,https://github.com/longfeimao,52,False
jdesbonnet,https://avatars.githubusercontent.com/u/2324366?v=4,https://github.com/jdesbonnet,51,False
jennmodamio,https://avatars.githubusercontent.com/u/25226568?v=4,https://github.com/jennmodamio,51,False
AaronBrennan1,https://avatars.githubusercontent.com/u/68754265?v=4,https://github.com/AaronBrennan1,50,True
lvalcarcel,https://avatars.githubusercontent.com/u/20109177?v=4,https://github.com/lvalcarcel,42,False
Gpreciat,https://avatars.githubusercontent.com/u/3357878?v=4,https://github.com/Gpreciat,41,True
wbryant,https://avatars.githubusercontent.com/u/8303141?v=4,https://github.com/wbryant,34,False
farid-zare,https://avatars.githubusercontent.com/u/50587630?v=4,https://github.com/farid-zare,32,True
YinTat,https://avatars.githubusercontent.com/u/14249625?v=4,https://github.com/YinTat,30,False
vlasovv,https://avatars.githubusercontent.com/u/26538257?v=4,https://github.com/vlasovv,27,False
jtsauls,https://avatars.githubusercontent.com/u/926401?v=4,https://github.com/jtsauls,22,False
mtefagh,https://avatars.githubusercontent.com/u/32623861?v=4,https://github.com/mtefagh,22,False
mapoliveira,https://avatars.githubusercontent.com/u/5347456?v=4,https://github.com/mapoliveira,19,False
lemmerelassal,https://avatars.githubusercontent.com/u/22169392?v=4,https://github.com/lemmerelassal,19,False
bertonoronha,https://avatars.githubusercontent.com/u/7371132?v=4,https://github.com/bertonoronha,19,False
mlehoai,https://avatars.githubusercontent.com/u/15769718?v=4,https://github.com/mlehoai,18,False
maikeaurich,https://avatars.githubusercontent.com/u/10501778?v=4,https://github.com/maikeaurich,18,False
karthikraman,https://avatars.githubusercontent.com/u/1312659?v=4,https://github.com/karthikraman,16,False
dayena,https://avatars.githubusercontent.com/u/9264555?v=4,https://github.com/dayena,16,False
susanGhaderi,https://avatars.githubusercontent.com/u/25219835?v=4,https://github.com/susanGhaderi,14,False
rosieluo2021,https://avatars.githubusercontent.com/u/87695223?v=4,https://github.com/rosieluo2021,14,True
gitCathClancy,https://avatars.githubusercontent.com/u/29885139?v=4,https://github.com/gitCathClancy,13,False
danielhyduke,https://avatars.githubusercontent.com/u/2709311?v=4,https://github.com/danielhyduke,13,False
chaitrasarathy,https://avatars.githubusercontent.com/u/13014140?v=4,https://github.com/chaitrasarathy,11,False
axelvonkamp,https://avatars.githubusercontent.com/u/47664585?v=4,https://github.com/axelvonkamp,11,False
dfaess,https://avatars.githubusercontent.com/u/97604079?v=4,https://github.com/dfaess,10,False
Yanjun2021,https://avatars.githubusercontent.com/u/93928963?v=4,https://github.com/Yanjun2021,10,True
edkerk,https://avatars.githubusercontent.com/u/7326655?v=4,https://github.com/edkerk,8,False
KadirKcbs,https://avatars.githubusercontent.com/u/71097137?v=4,https://github.com/KadirKcbs,8,False
cladelpino,https://avatars.githubusercontent.com/u/13383864?v=4,https://github.com/cladelpino,8,False
hhefzi,https://avatars.githubusercontent.com/u/14252001?v=4,https://github.com/hhefzi,8,False
pavan-kumar-s,https://avatars.githubusercontent.com/u/138394293?v=4,https://github.com/pavan-kumar-s,8,True
SomyaVerma27,https://avatars.githubusercontent.com/u/76105466?v=4,https://github.com/SomyaVerma27,8,True
Sami990,https://avatars.githubusercontent.com/u/83096733?v=4,https://github.com/Sami990,6,True
ThierryMondeel,https://avatars.githubusercontent.com/u/10259594?v=4,https://github.com/ThierryMondeel,6,False
BenjaSanchez,https://avatars.githubusercontent.com/u/9384349?v=4,https://github.com/BenjaSanchez,6,False
artenobot,https://avatars.githubusercontent.com/u/44060023?v=4,https://github.com/artenobot,6,False
MasoudAhoo,https://avatars.githubusercontent.com/u/3618612?v=4,https://github.com/MasoudAhoo,6,False
kostromins,https://avatars.githubusercontent.com/u/6330647?v=4,https://github.com/kostromins,5,False
shyamsrinivasan,https://avatars.githubusercontent.com/u/12850323?v=4,https://github.com/shyamsrinivasan,5,False
WegrzynAB,https://avatars.githubusercontent.com/u/17320937?v=4,https://github.com/WegrzynAB,5,False
fplanes,https://avatars.githubusercontent.com/u/30048761?v=4,https://github.com/fplanes,5,False
sriki18,https://avatars.githubusercontent.com/u/7760814?v=4,https://github.com/sriki18,4,False
nignatiadis,https://avatars.githubusercontent.com/u/2933625?v=4,https://github.com/nignatiadis,4,False
Averinix,https://avatars.githubusercontent.com/u/11542202?v=4,https://github.com/Averinix,4,False
BigDataInSilicoBiologyGroup,https://avatars.githubusercontent.com/u/87857272?v=4,https://github.com/BigDataInSilicoBiologyGroup,4,False
bheavner,https://avatars.githubusercontent.com/u/2286965?v=4,https://github.com/bheavner,4,False
mfarshada,https://avatars.githubusercontent.com/u/34990966?v=4,https://github.com/mfarshada,3,False
zappingseb,https://avatars.githubusercontent.com/u/13066661?v=4,https://github.com/zappingseb,3,False
nmendozam,https://avatars.githubusercontent.com/u/58706237?v=4,https://github.com/nmendozam,3,False
aebrahim,https://avatars.githubusercontent.com/u/1380168?v=4,https://github.com/aebrahim,2,False
silvtal,https://avatars.githubusercontent.com/u/41147963?v=4,https://github.com/silvtal,2,True
rxpavan,https://avatars.githubusercontent.com/u/70786941?v=4,https://github.com/rxpavan,2,True
iaemparanza,https://avatars.githubusercontent.com/u/30118462?v=4,https://github.com/iaemparanza,2,False
fromseto,https://avatars.githubusercontent.com/u/3041525?v=4,https://github.com/fromseto,2,False
akinsse,https://avatars.githubusercontent.com/u/13107578?v=4,https://github.com/akinsse,2,False
simas232,https://avatars.githubusercontent.com/u/11994076?v=4,https://github.com/simas232,2,False
hadjar11,https://avatars.githubusercontent.com/u/44545445?v=4,https://github.com/hadjar11,2,True
bronsonweston,https://avatars.githubusercontent.com/u/30774490?v=4,https://github.com/bronsonweston,2,False
Bounciness,https://avatars.githubusercontent.com/u/1663434?v=4,https://github.com/Bounciness,2,False
PandengWang,https://avatars.githubusercontent.com/u/48956396?v=4,https://github.com/PandengWang,1,False
pauljensen,https://avatars.githubusercontent.com/u/3199983?v=4,https://github.com/pauljensen,1,False
yjarosz,https://avatars.githubusercontent.com/u/647491?v=4,https://github.com/yjarosz,1,False
yhbae6022,https://avatars.githubusercontent.com/u/88372522?v=4,https://github.com/yhbae6022,1,False
amnag,https://avatars.githubusercontent.com/u/10493607?v=4,https://github.com/amnag,1,False
annasheehy,https://avatars.githubusercontent.com/u/90638549?v=4,https://github.com/annasheehy,1,True
gogo1988,https://avatars.githubusercontent.com/u/15180014?v=4,https://github.com/gogo1988,1,False
hariszaf,https://avatars.githubusercontent.com/u/33932522?v=4,https://github.com/hariszaf,1,False
hsnguyen,https://avatars.githubusercontent.com/u/7806873?v=4,https://github.com/hsnguyen,1,False
jacobmartin2022,https://avatars.githubusercontent.com/u/35851453?v=4,https://github.com/jacobmartin2022,1,False
meiya-laksh,https://avatars.githubusercontent.com/u/7940902?v=4,https://github.com/meiya-laksh,1,False
parir,https://avatars.githubusercontent.com/u/5346552?v=4,https://github.com/parir,1,False
schultzdre,https://avatars.githubusercontent.com/u/33732220?v=4,https://github.com/schultzdre,1,False
sowmyamanojna,https://avatars.githubusercontent.com/u/31937434?v=4,https://github.com/sowmyamanojna,1,False
trjhensen,https://avatars.githubusercontent.com/u/59657514?v=4,https://github.com/trjhensen,1,True
yunbum-kook,https://avatars.githubusercontent.com/u/23479772?v=4,https://github.com/yunbum-kook,1,True
pablormier,https://avatars.githubusercontent.com/u/1433810?v=4,https://github.com/pablormier,1,False
nigiord,https://avatars.githubusercontent.com/u/4519487?v=4,https://github.com/nigiord,1,False
ScarabMonkey,https://avatars.githubusercontent.com/u/1151122?v=4,https://github.com/ScarabMonkey,1,False
mariapirespacheco,https://avatars.githubusercontent.com/u/5583705?v=4,https://github.com/mariapirespacheco,1,True
qks1lver,https://avatars.githubusercontent.com/u/18724036?v=4,https://github.com/qks1lver,1,False
djinnome,https://avatars.githubusercontent.com/u/144210?v=4,https://github.com/djinnome,1,False
jarlemag,https://avatars.githubusercontent.com/u/4999248?v=4,https://github.com/jarlemag,1,False
hleegwater,https://avatars.githubusercontent.com/u/55512235?v=4,https://github.com/hleegwater,1,False
CodeGeasrb,https://avatars.githubusercontent.com/u/132638335?v=4,https://github.com/CodeGeasrb,1,True
bbarker,https://avatars.githubusercontent.com/u/916366?v=4,https://github.com/bbarker,1,False
bramnap,https://avatars.githubusercontent.com/u/70942965?v=4,https://github.com/bramnap,1,True
BhushanDhamale,https://avatars.githubusercontent.com/u/28247330?v=4,https://github.com/BhushanDhamale,1,False
BethWest,https://avatars.githubusercontent.com/u/25298643?v=4,https://github.com/BethWest,1,False
AndrasHartmann,https://avatars.githubusercontent.com/u/8862942?v=4,https://github.com/AndrasHartmann,1,False
pavaoa,https://avatars.githubusercontent.com/u/29278926?v=4,https://github.com/pavaoa,1,False
